Symbol,Timestamp,Current_Price (LTP),Open,High,Low,Previous_Close,Day_Change,Day_Change_Perc,Volume,52W_High,52W_Low,Upper_Circuit,Lower_Circuit
TECHM,2026-03-28 16:04:25,1391.6,1395.0,1421.0,1385.5,1408.5,-16.90000000000009,-1.1998580049698324,2584016,1854.0,1209.4,1530.7,1252.5
ADANIPORTS,2026-03-28 16:04:25,1337.8,1375.0,1375.0,1330.1,1375.9,-38.100000000000136,-2.7690965913220533,2667313,1584.0,1041.5,1471.5,1204.1
HINDALCO,2026-03-28 16:04:25,866.7,860.0,872.95,854.75,868.65,-1.9499999999999318,-0.2244862718010628,4104597,1029.8,546.45,953.35,780.05
JSWSTEEL,2026-03-28 16:04:25,1130.3,1150.0,1150.8,1126.9,1156.0,-25.700000000000045,-2.223183391003464,2750813,1284.7,905.2,1243.3,1017.3
BAJAJ-AUTO,2026-03-28 16:04:25,8901.0,8971.5,9004.0,8840.0,9048.5,-147.5,-1.630104437199536,326675,10187.0,7089.35,9791.0,8011.0
DRREDDY,2026-03-28 16:04:25,1281.7,1297.0,1302.9,1278.2,1300.7,-19.0,-1.4607519028215576,2165113,1379.7,1020.0,1409.8,1153.6
CIPLA,2026-03-28 16:04:25,1242.3,1226.5,1249.2,1226.5,1244.4,-2.1000000000001364,-0.16875602700097528,2220695,1673.0,1216.6,1366.5,1118.1
HDFCLIFE,2026-03-28 16:04:25,610.2,605.0,612.45,600.0,612.9,-2.699999999999932,-0.44052863436122236,4422345,820.75,590.05,671.2,549.2
MAXHEALTH,2026-03-28 16:04:25,975.1,978.1,990.8,970.8,988.2,-13.100000000000023,-1.325642582473186,2557821,1314.3,933.8,1072.6,877.6
ASIANPAINT,2026-03-28 16:04:25,2207.4,2246.3,2269.0,2201.1,2270.2,-62.79999999999973,-2.7662760990221007,1089010,2985.7,2115.0,2428.1,1986.7
NESTLEIND,2026-03-28 16:04:25,1193.2,1204.1,1215.7,1188.3,1204.1,-10.899999999999864,-0.9052404285358246,2005121,1340.4,1074.0,1312.5,1073.9
SBILIFE,2026-03-28 16:04:25,1837.6,1835.2,1851.1,1828.9,1851.8,-14.200000000000045,-0.7668214710011905,1156884,2132.0,1430.55,2021.3,1653.9
TATACONSUM,2026-03-28 16:04:25,1048.5,1049.3,1057.5,1032.7,1056.1,-7.599999999999909,-0.7196288230281138,1815831,1220.9,952.5,1153.3,943.7
